"club","name","transfer_fee","Position","league","detailed_position","Squad","AVGage","Foreigners","TotalPlayerValue","League.x","Pos","GP","W","D","L","GR","GD","Points"
"AS Roma","Chris Smalling","Loan fee:","Defence","Serie A","Centre-Back",57,23.7,27,"€459.05m","Serie A",6,38,18,12,8,"66:48",18,66
"AS Roma","Gianluca Mancini","Loan fee:","Defence","Serie A","Centre-Back",57,23.7,27,"€459.05m","Serie A",6,38,18,12,8,"66:48",18,66
"AS Roma","Leonardo Spinazzola","€29.50m","Defence","Serie A","Left-Back",57,23.7,27,"€459.05m","Serie A",6,38,18,12,8,"66:48",18,66
"Atalanta BC","Lennart Czyborra","€4.60m","Defence","Serie A","Left-Back",88,22.7,29,"€367.68m","Serie A",3,38,20,9,9,"77:46",31,69
"Atalanta BC","Bosko Sutalo","€4.00m","Defence","Serie A","Centre-Back",88,22.7,29,"€367.68m","Serie A",3,38,20,9,9,"77:46",31,69
"Atalanta BC","Marco Varnier","€2.25m","Defence","Serie A","Centre-Back",88,22.7,29,"€367.68m","Serie A",3,38,20,9,9,"77:46",31,69
"Barcelona","Junior Firpo","€20.00m","Defence","LaLiga","Left-Back",39,24.7,20,"€1.16bn","LaLiga",1,38,26,9,3,"90:36",54,87
"Barcelona","Marc Cucurella","€4.00m","Defence","LaLiga","Left-Back",39,24.7,20,"€1.16bn","LaLiga",1,38,26,9,3,"90:36",54,87
"Bayer 04 Leverkusen","Edmond Tapsoba","€20.20m","Defence","Bundesliga","Centre-Back",31,24.6,16,"€429.40m","Bundesliga",4,34,18,4,12,"69:52",17,58
"Bayer 04 Leverkusen","Daley Sinkgraven","€5.00m","Defence","Bundesliga","Left-Back",31,24.6,16,"€429.40m","Bundesliga",4,34,18,4,12,"69:52",17,58
"Bayern Munich","Lucas Hern'andez","€80.00m","Defence","Bundesliga","Centre-Back",32,25.7,15,"€784.88m","Bundesliga",1,34,24,6,4,"88:32",56,78
"Bayern Munich","Benjamin Pavard","€35.00m","Defence","Bundesliga","Right-Back",32,25.7,15,"€784.88m","Bundesliga",1,34,24,6,4,"88:32",56,78
"Borussia Dortmund","Nico Schulz","€25.50m","Defence","Bundesliga","Left-Back",34,24.4,19,"€643.25m","Bundesliga",2,34,23,7,4,"81:44",37,76
